1,The Beatles,Abbey Road,Come Together,A1,B1,10.99,19.99,0.99,7.99,14.99,0.89,Rock,true,true,true,349,512
2,BeyoncÃ©,Lemonade,Formation,hjfhdh,B2,12.99,21.99,1.49,9.99,17.99,1.19,Pop,true,true,true,726,183
3,Queen,Greatest Hits hj,Bohemian Rhapsody,du,B3,9.99,17.99,0.79,6.99,12.99,0.69,Rock,true,true,true,132,899
4,Michael Jackson,Thriller,Billie Jean,A4,B4,11.99,20.99,1.29,8.99,15.99,1.09,Pop,true,true,true,879,291
6,Ed Sheeran,ÃƒÆ’Ã‚Â· (Divide),ich du,A6,B6,8.99,16.99,0.59,5.99,11.99,0.49,Pop,true,true,true,246,785
9,John Legend,Oich musl de,All of Me,A9,B9,9.99,17.99,0.79,6.99,12.99,0.69,R&B,true,true,true,551,409
10,Led Zeppelin,IV,Stairway to Heaven,A10,B10,11.99,20.99,1.29,8.99,15.99,1.09,Rock,true,true,true,679,17
11,Imagine Dragons,Evolve,Believer,A11,B11,13.99,22.99,1.69,10.99,19.99,1.39,Alternative,true,true,true,151,786
12,Justin Bieber,Purpose,Sorry,A12,jsjgjd,8.0,16.0,0.59,5.99,11.99,0.49,Pop,true,true,true,389,917
14,Katy Perry,Prism,Dark Horse,A14,B14,12.99,21.99,1.49,9.99,17.99,1.19,Pop,true,true,true,38,652
15,ich,Goodbye Yellow Brick Road,Rocket Man,A15,B15,9.99,17.99,0.79,6.99,12.99,0.69,Pop,true,true,true,968,424
16,The Rolling Stones,Sticky Fingers,Paint It Black,A16,B16,11.99,20.99,1.29,8.99,15.99,1.09,Rock,true,true,true,828,672
18,David Bowie,The Rise and Fall of Ziggy Stardust,Starman,A18,B18,8.99,16.99,0.59,5.99,11.99,0.49,Rock,true,true,true,259,813
20,The Police,Synchronicity,Every Breath You Take,A20,B20,12.99,21.99,1.49,9.99,17.99,1.19,Pop,true,true,true,536,746
21,Sia,1000 Forms of Fear,Chandelier,A21,B21,9.99,17.99,0.79,6.99,12.99,0.69,Ui,true,true,true,365,981
22,Bruno Mars,24K Magic,24K Magic,A22,B22,11.99,20.99,1.29,8.95,15.99,1.09,R&B,true,true,true,719,32
24,Shawn Mendes,Illuminate,Stitches,A24,B24,8.99,16.99,0.59,5.99,11.99,0.49,Pop,true,true,true,587,721
25,Mumford & Sons,Babel,I Will Wait,A26,B26,12.99,21.99,1.49,9.99,17.99,1.19,Folk,true,true,true,483,760
26,Drake,Scorpion,God's Plan,A27,B27,9.99,17.99,0.79,6.99,12.99,0.69,Hip-Hop,true,true,true,148,977
27,Lorde,Melodrama,Green Light,A28,B28,11.99,20.99,1.29,8.99,15.99,1.09,Pop,true,true,true,665,425
28,The Chainsmokers,Memories...Do Not Open,Something Just Like This,A29,B29,13.99,22.99,1.69,10.99,19.99,1.39,Electronic,true,true,true,214,725
29,Maroon 5,Songs About Jane,She Will Be Loved,A30,B30,8.99,16.99,0.59,5.99,11.99,0.49,Pop,true,true,true,979,935
31,U2,The Joshua Tree,With or Without You,A31,B31,10.99,19.99,0.99,7.99,14.99,0.89,Rock,true,true,true,23,193
32,Rihanna,Loud,Only Girl (In the World),A32,B32,12.99,21.99,1.49,9.99,17.99,1.19,Pop,true,true,true,401,187
